x,y
3.1903889311673695e-07,7.256375864410263e-07
3.1903889311673695e-07,-28.962639482704567
3.1903889311673695e-07,-16.20278839357009
3.1903889311673695e-07,-10.992492518336572
3.1903889311673695e-07,-8.118656646597124
3.1903889311673695e-07,-6.295700366037955
3.1903889311673695e-07,-5.0401740375048885
3.1903889311673695e-07,-4.126980398651902
3.1903889311673695e-07,-3.436431653827471
3.1903889311673695e-07,-2.898790854019067
3.1903889311673695e-07,-2.4706002163840104
3.1903889311673695e-07,-2.1233436759848847
3.1903889311673695e-07,-1.8375273453527932
3.1903889311673695e-07,-1.59937341762856
3.1903889311673695e-07,-1.3988709107634956
3.1903889311673695e-07,-1.2285740021504399
3.1903889311673695e-07,-1.0828330230855348
3.1903889311673695e-07,-0.9572864278201283
3.1903889311673695e-07,-0.8485158418340449
3.1903889311673695e-07,-0.7538061779331257
3.1903889311673695e-07,-0.6709752767033619
3.1903889311673695e-07,-0.5982506475152733
3.1903889311673695e-07,-0.5341787929993234
3.1903889311673695e-07,-0.4775574999797844
3.1903889311673695e-07,-0.4273845932195589
3.1903889311673695e-07,-0.38281867121769075
3.1903889311673695e-07,-0.34314868457401637
3.1903889311673695e-07,-0.307770123143829
3.1903889311673695e-07,-0.2761662001669319
3.1903889311673695e-07,-0.2478928552507946
3.1903889311673695e-07,-0.22256670478206714
3.1903889311673695e-07,-0.19985528807745942
3.1903889311673695e-07,-0.17946911691516315
3.1903889311673695e-07,-0.16115515291868757
3.1903889311673695e-07,-0.14469142382707245
3.1903889311673695e-07,-0.12988255444320396
3.1903889311673695e-07,-0.11655603694220135
3.1903889311673695e-07,-0.10455910244418515
3.1903889311673695e-07,-0.0937560843229973
3.1903889311673695e-07,-0.08402618581142483
3.1903889311673695e-07,-0.0752615816637944
3.1903889311673695e-07,-0.06736579711975746
3.1903889311673695e-07,-0.06025231804838604
3.1903889311673695e-07,-0.05384339459050196
3.1903889311673695e-07,-0.04806900735066794
3.1903889311673695e-07,-0.0428659705917635
3.1903889311673695e-07,-0.03817715123994621
3.1903889311673695e-07,-0.03395078603597199
3.1903889311673695e-07,-0.030139882040668378
3.1903889311673695e-07,-0.02670168805063749
3.1903889311673695e-07,-0.023597226409145005
3.1903889311673695e-07,-0.020790876288709695
3.1903889311673695e-07,-0.018250000841129422
